Table 9,,,,,,,,,,,,,,,,,,
Offenses Known to Law Enforcement ,,,,,,, ,,, ,,,,,,,,
"by State by University and College, 2015",,,,,,,,,,,,,,,,,,
State,University/College ,Campus,"Studentenrollment1","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)2","Rape(legacydefinition)3",Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft",Arson4,,,,
,Indiana University: ,Bloomington,"46,416",38,0,18,,0,20,306,46,249,11,,,,,
,,Indianapolis,"30,690",12,0,4,,4,4,228,18,201,9,0,,,,
,,Northwest,"6,052",1,0,0,,0,1,20,3,17,0,,,,,
,,Southeast,"6,442",3,0,3,,0,0,9,1,8,0,0,,,,
,Marian University,,"2,771",0,0,,0,0,0,36,4,32,0,,,,,
,Purdue University,,"39,752",9,0,7,,2,0,348,29,314,5,2,,,,
IOWA,Iowa State University,,"34,435",17,0,8,,2,7,249,12,231,6,0,,,,
,University of Iowa,,"29,970",11,0,3,,2,6,255,27,224,4,1,,,,
,University of Northern Iowa,,"11,928",2,0,1,,0,1,103,9,94,0,0,,,,
KANSAS,Emporia State University,,"6,114",1,0,0,,0,1,24,2,22,0,0,,,,
,Fort Hays State University,,"13,825",1,0,1,,0,0,45,12,33,0,0,,,,
,Kansas City Kansas Community College,,"6,198",0,0,0,,0,0,36,2,34,0,0,,,,
,Kansas State University,,"24,766",5,0,1,,1,3,103,6,96,1,0,,,,
,Pittsburg State University,,"7,479",2,0,0,,1,1,46,2,44,0,0,,,,
,University of Kansas: ,Main Campus,"27,180",5,0,1,,1,3,177,24,147,6,1,,,,
,,Medical Center6,,16,0,1,,2,13,152,6,141,5,0,,,,
,Washburn University,,"6,722",1,0,1,,0,0,57,6,47,4,1,,,,
,Wichita State University,,"14,995",4,1,0,,3,0,87,5,81,1,0,,,,
KENTUCKY,Eastern Kentucky University,,"16,305",3,0,0,,2,1,158,17,138,3,2,,,,
,Kentucky State University,,"1,895",0,0,0,,0,0,14,2,12,0,0,,,,
,Morehead State University,,"11,052",3,0,3,,0,0,21,2,18,1,0,,,,
,Murray State University,,"11,207",4,0,3,,0,1,97,12,84,1,1,,,,
,Northern Kentucky University,,"15,090",2,0,2,,0,0,69,4,63,2,0,,,,
,University of Kentucky,,"29,203",4,0,0,,0,4,465,12,422,31,1,,,,
,University of Louisville,,"21,561",7,0,2,,4,1,247,23,216,8,0,,,,
,Western Kentucky University,,"20,171",1,0,1,,0,0,97,16,79,2,1,,,,
LOUISIANA,Delgado Community College,,"17,152",0,0,0,,0,0,14,1,12,1,0,,,,
,Dillard University,,"1,200",3,0,2,,0,1,45,18,27,0,0,,,,
,Grambling State University,,"4,504",10,0,0,,4,6,122,31,91,0,0,,,,
,Louisiana State University: ,Baton Rouge,"31,044",10,0,2,,5,3,446,70,348,28,0,,,,
,,Eunice,"2,738",0,0,0,,0,0,0,0,0,0,0,,,,
,,"Health Sciences Center, New Orleans","2,828",0,0,0,,0,0,0,0,0,0,0,,,,
,,"Health Sciences Center, Shreveport",870,3,0,0,,0,3,27,2,23,2,0,,,,
,,Shreveport,"4,186",2,0,1,,0,1,17,4,13,0,0,,,,
,Louisiana Tech University,,"11,225",3,0,0,,1,2,83,22,60,1,0,,,,
,McNeese State University,,"8,237",0,0,0,,0,0,11,0,11,0,0,,,,
,Nicholls State University,,"6,292",1,0,1,,0,0,22,0,22,0,0,,,,
,Northwestern State University,,"9,002",3,0,2,,0,1,57,11,45,1,0,,,,
,Southern University and A&M College: ,Baton Rouge,"6,330",6,0,0,,1,5,135,13,118,4,0,,,,
,,New Orleans,"2,103",0,0,0,,0,0,0,0,0,0,0,,,,
,,Shreveport,"2,952",0,0,0,,0,0,2,0,2,0,0,,,,
,Tulane University,,"12,603",9,0,0,,8,1,326,24,298,4,1,,,,
,University of Louisiana: ,Lafayette,"17,195",19,0,3,,3,13,175,23,146,6,1,,,,
,,Monroe,"8,517",4,0,2,,2,0,45,6,38,1,0,,,,
,University of New Orleans,,"9,234",5,0,1,,1,3,67,10,53,4,0,,,,
MAINE,University of Maine: ,Farmington,"1,960",6,0,,6,0,0,11,1,10,0,0,,,,
,,Orono,"11,286",1,0,,1,0,0,133,2,131,0,3,,,,
,University of Southern Maine,,"8,428",1,0,,1,0,0,26,1,25,0,2,,,,
MARYLAND,Bowie State University,,"5,695",5,0,1,,2,2,49,22,27,0,0,,,,
,Coppin State University,,"3,133",1,0,0,,0,1,66,21,42,3,0,,,,
,Frostburg State University,,"5,645",0,0,0,,0,0,45,6,37,2,0,,,,
